lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
,,,604,-98.11426544189453,0.2305433750152588,0.5889540910720825,1
0.0005,0.0005,0.0005,609,,,,
,,,609,-113.5093994140625,0.23246057331562042,0.5831233263015747,1
0.0005,0.0005,0.0005,614,,,,
,,,614,-136.2279815673828,0.23390629887580872,0.5890567898750305,1
0.0005,0.0005,0.0005,619,,,,
,,,619,-95.21537780761719,0.22862625122070312,0.5794651508331299,1
0.0005,0.0005,0.0005,624,,,,
,,,624,-77.75322723388672,0.23587854206562042,0.5849077105522156,1
0.0005,0.0005,0.0005,629,,,,
,,,629,-47.213470458984375,0.23169785737991333,0.5819278359413147,1
0.0005,0.0005,0.0005,634,,,,
,,,634,-27.683452606201172,0.2354748398065567,0.5925963521003723,1
0.0005,0.0005,0.0005,639,,,,
,,,639,-113.70465087890625,0.22806459665298462,0.5866882801055908,1
0.0005,0.0005,0.0005,644,,,,
,,,644,-137.78515625,0.2329723984003067,0.5955469608306885,1
0.0005,0.0005,0.0005,649,,,,
,,,649,-122.86729431152344,0.22606036067008972,0.5935724973678589,1
0.0005,0.0005,0.0005,654,,,,
,,,654,-148.50112915039062,0.21628016233444214,0.5778285264968872,1
0.0005,0.0005,0.0005,659,,,,
,,,659,-65.3521957397461,0.22748267650604248,0.5897930264472961,1
0.0005,0.0005,0.0005,664,,,,
,,,664,-88.78021240234375,0.23282666504383087,0.5925084352493286,1
0.0005,0.0005,0.0005,669,,,,
,,,669,-96.9478988647461,0.22480736672878265,0.5745521783828735,1
0.0005,0.0005,0.0005,674,,,,
,,,674,-136.79580688476562,0.23266512155532837,0.5904673337936401,1
0.0005,0.0005,0.0005,679,,,,
,,,679,-118.19387817382812,0.22645677626132965,0.5753268599510193,1
0.0005,0.0005,0.0005,684,,,,
,,,684,-63.2607536315918,0.2292247712612152,0.5791569352149963,1
0.0005,0.0005,0.0005,689,,,,
,,,689,-85.87677001953125,0.23537525534629822,0.5953230261802673,1
0.0005,0.0005,0.0005,694,,,,
,,,694,-102.64603424072266,0.22576911747455597,0.5809761881828308,1
0.0005,0.0005,0.0005,699,,,,
,,,699,-135.94830322265625,0.22959117591381073,0.5967214107513428,1
0.0005,0.0005,0.0005,704,,,,
,,,704,-94.93727111816406,0.2378901243209839,0.5994905233383179,1
0.0005,0.0005,0.0005,709,,,,
,,,709,-101.02586364746094,0.22982534766197205,0.5936780571937561,1
0.0005,0.0005,0.0005,714,,,,
,,,714,-136.19137573242188,0.22114765644073486,0.5912525653839111,1
0.0005,0.0005,0.0005,719,,,,
,,,719,-117.27521514892578,0.2302137315273285,0.5804417729377747,1
0.0005,0.0005,0.0005,724,,,,
,,,724,-108.0201416015625,0.2215932011604309,0.5723427534103394,1
0.0005,0.0005,0.0005,729,,,,
,,,729,-82.57498931884766,0.22740478813648224,0.5878576040267944,1
0.0005,0.0005,0.0005,734,,,,
,,,734,-147.3829345703125,0.22885644435882568,0.5901278853416443,1
0.0005,0.0005,0.0005,739,,,,
,,,739,-67.82990264892578,0.22601507604122162,0.5851168632507324,1
0.0005,0.0005,0.0005,744,,,,
,,,744,-148.16537475585938,0.22446998953819275,0.5856584310531616,1
0.0005,0.0005,0.0005,749,,,,
,,,749,-121.76922607421875,0.22841550409793854,0.5895304679870605,1
0.0005,0.0005,0.0005,754,,,,
,,,754,-85.39429473876953,0.2299996167421341,0.5888276100158691,1
0.0005,0.0005,0.0005,759,,,,
,,,759,-141.27879333496094,0.2195480316877365,0.5869381427764893,1
0.0005,0.0005,0.0005,764,,,,
,,,764,-115.17100524902344,0.22925961017608643,0.5903224349021912,1
0.0005,0.0005,0.0005,769,,,,
,,,769,-148.1184844970703,0.2182532697916031,0.5805197954177856,1
0.0005,0.0005,0.0005,774,,,,
,,,774,-121.46238708496094,0.22857481241226196,0.5833644270896912,1
0.0005,0.0005,0.0005,779,,,,
,,,779,-104.9053955078125,0.22283759713172913,0.5852837562561035,1
0.0005,0.0005,0.0005,784,,,,
,,,784,-11.740161895751953,0.23214516043663025,0.5832785367965698,1
0.0005,0.0005,0.0005,789,,,,
,,,789,-69.29232788085938,0.23010586202144623,0.5877782702445984,1
0.0005,0.0005,0.0005,794,,,,
,,,794,-137.15811157226562,0.21729609370231628,0.5889315009117126,1
0.0005,0.0005,0.0005,799,,,,
,,,799,-84.96719360351562,0.22488728165626526,0.5850813984870911,1
0.0005,0.0005,0.0005,804,,,,
,,,804,-123.52798461914062,0.2257128804922104,0.5901703834533691,1
0.0005,0.0005,0.0005,809,,,,
,,,809,-101.18893432617188,0.22074030339717865,0.590477466583252,1
0.0005,0.0005,0.0005,814,,,,
,,,814,-127.28973388671875,0.22686074674129486,0.5899422764778137,1
0.0005,0.0005,0.0005,819,,,,
,,,819,-89.86664581298828,0.23023530840873718,0.5820890069007874,1
0.0005,0.0005,0.0005,824,,,,
,,,824,-132.5413818359375,0.2217521071434021,0.5807758569717407,1
0.0005,0.0005,0.0005,829,,,,
