lr-AdamW/pg1,lr-AdamW/pg2,lr-AdamW/pg3,step,CD_Loss,MSE_Bias_Loss,MSE_Var_Loss,epoch
0.0005,0.0005,0.0005,519,,,,
,,,519,-111.59156036376953,0.23433533310890198,0.5780753493309021,1
0.0005,0.0005,0.0005,524,,,,
,,,524,-78.74187469482422,0.24105235934257507,0.5808529853820801,1
0.0005,0.0005,0.0005,529,,,,
,,,529,-64.10484313964844,0.2400587797164917,0.5948796272277832,1
0.0005,0.0005,0.0005,534,,,,
,,,534,-31.709186553955078,0.2350173443555832,0.5789180994033813,1
0.0005,0.0005,0.0005,539,,,,
,,,539,-106.98717498779297,0.2307029664516449,0.5721665024757385,1
0.0005,0.0005,0.0005,544,,,,
,,,544,-122.15031433105469,0.24267025291919708,0.5961738228797913,1
0.0005,0.0005,0.0005,549,,,,
,,,549,-137.11138916015625,0.22767744958400726,0.5847927927970886,1
0.0005,0.0005,0.0005,554,,,,
,,,554,-96.14875030517578,0.24293704330921173,0.5797824859619141,1
0.0005,0.0005,0.0005,559,,,,
,,,559,-84.82234191894531,0.2520809471607208,0.6056124567985535,1
0.0005,0.0005,0.0005,564,,,,
,,,564,-90.01148223876953,0.22817794978618622,0.5718720555305481,1
0.0005,0.0005,0.0005,569,,,,
,,,569,-48.661277770996094,0.22350260615348816,0.5604308247566223,1
0.0005,0.0005,0.0005,574,,,,
,,,574,-89.91969299316406,0.2359180897474289,0.5801168084144592,1
0.0005,0.0005,0.0005,579,,,,
,,,579,-150.4351806640625,0.22424152493476868,0.5817128419876099,1
0.0005,0.0005,0.0005,584,,,,
,,,584,-118.7406234741211,0.2277439683675766,0.5625761151313782,1
0.0005,0.0005,0.0005,589,,,,
,,,589,-74.99955749511719,0.22503787279129028,0.5761909484863281,1
0.0005,0.0005,0.0005,594,,,,
,,,594,-32.249446868896484,0.25368091464042664,0.6071711182594299,1
0.0005,0.0005,0.0005,599,,,,
,,,599,-151.4537811279297,0.22535409033298492,0.5684648752212524,1
0.0005,0.0005,0.0005,604,,,,
,,,604,-125.80171966552734,0.22238659858703613,0.5667903423309326,1
0.0005,0.0005,0.0005,609,,,,
,,,609,29.931453704833984,0.24597439169883728,0.602314293384552,1
0.0005,0.0005,0.0005,614,,,,
,,,614,-67.3989028930664,0.24650931358337402,0.5935185551643372,1
0.0005,0.0005,0.0005,619,,,,
,,,619,-102.8687744140625,0.23731523752212524,0.5893594622612,1
0.0005,0.0005,0.0005,624,,,,
,,,624,-8.414549827575684,0.2401634156703949,0.5963626503944397,1
0.0005,0.0005,0.0005,629,,,,
,,,629,18.086088180541992,0.24883347749710083,0.603710412979126,1
0.0005,0.0005,0.0005,634,,,,
,,,634,11.641908645629883,0.247921884059906,0.6009430289268494,1
0.0005,0.0005,0.0005,639,,,,
,,,639,-121.59175109863281,0.23200348019599915,0.5791500210762024,1
0.0005,0.0005,0.0005,644,,,,
,,,644,-17.763107299804688,0.24248473346233368,0.6097750067710876,1
0.0005,0.0005,0.0005,649,,,,
